숙박시설명,시설명(영문),주소,주소(영문),숙박위치(동서방향),숙박위치(남북방향),숙박업소 홈페이지 주소,숙박업소 근처 시티투어 버스 유무,숙박업소 등급,숙박업소 건물 수,숙박업소 객실 수,숙박업소 스탠딩 수,숙박업소 좌석 수,숙박업소 대표메뉴,숙박업소 특징,숙박업소 연중무휴 여부,숙박업소 오픈 시간,숙박업소 종료 시간,성수기시작일,성수기종료일,숙박시설의 휴무 이유,조식 유무,쿠폰 유무,쿠폰 할인율,쿠폰 시작 날짜,쿠폰 마감 날짜,쿠폰 참고사항,주민 사용가능한 쿠폰 유무,주차장 유무,주차장 요금 유무,주차장 세부사항,주차 자동차 합계,주차 버스 합계,숙박 주변 주차장 정보,장애인 시설 유무,산책 유무,신용카드 유무,팁 유무,핸드폰 충전 유무,짐 보관 이유,아동 보육 유무,반려동물 보호 유무,외국인 가이드 유무,근처 관광 정보,근처 쇼핑 정보,근처 외식 정보,근처 숙박 정보,근처 교통 정보
해변민박,,전라남도 여수시 남면 연도리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
진작지민박,,전라남도 여수시 남면 심장리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
상록수민박,,전라남도 여수시 남면 우학리,,,,,n,,0,6,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
대부산민박,,전라남도 여수시 남면 유송리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
여남민박,,전라남도 여수시 남면 우학리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
섬마을민박,,전라남도 여수시 남면 용머리길 25,"25, Yongmeori-gil Nam-myeon, Yeosu-si, Jeollanam-do",373534.5275,215555.7356,,n,,1,4,0,0,,,n,14:00,11:00,06월 01일,08월 01일,,y,n,,,,,,y,n,,0,0,,,n,y,n,y,n,n,y,n,n,y,y,n,n
정순민박,,전라남도 여수시 남면 두모리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
해변민박,,전라남도 여수시 남면 두모리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
자갈밭민박,,전라남도 여수시 남면 두모리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
상봉이민박,,전라남도 여수시 남면 두모리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
보대민박,,전라남도 여수시 남면 우두로 219,"219, Udu-ro Nam-myeon, Yeosu-si, Jeollanam-do",376496.0565,212293.7968,,n,,2,5,0,0,,"보대민박, 민박, 남면, 금오도, 두모리",n,14:00,11:00,07월 20일,08월 20일,,n,n,,,,,,y,n,,5,1,,,n,n,y,y,n,n,n,n,y,y,n,y,n
소망민박,,전라남도 여수시 남면 두모리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
소나무민박,,전라남도 여수시 남면 두모리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
해송민박,,전라남도 여수시 남면 두모리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
친절민박,,전라남도 여수시 남면 두모리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
안도모텔,,전라남도 여수시 남면 안도해변길 25,"25, Andoan-gil Nam-myeon, Yeosu-si, Jeollanam-do",382069.8521,210020.5012,,y,,1,6,0,0,,"안도모텔, 민박, 금오도, 안도리",n,14:00,10:00,07월 25일,08월 25일,,n,n,,,,,,y,n,,10,2,,,n,y,y,y,n,n,n,n,n,y,y,n,n
돌다리민박,,전라남도 여수시 남면 안도해변길 49-1,"49-1, Andoan-gil Nam-myeon, Yeosu-si, Jeollanam-do",382288.1551,209946.4959,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,y,n,,0,0,,,n,n,n,y,n,n,n,n,y,y,y,y,n
황금민박,,전라남도 여수시 남면 안도리,,,,,n,,0,5,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
해변민박,,전라남도 여수시 남면 안도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
해오름민박,,전라남도 여수시 남면 두모리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
잎세민박,,전라남도 여수시 화양면 안포리,,,,,n,,0,5,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
토방마루,,전라남도 여수시 화양면 장수로 408-5,"408-5, Jangsu-ro Hwayang-myeon, Yeosu-si, Jeollanam-do",,,tobang.namdominbak.go.kr,n,,2,3,0,0,,"민박, 토방마루민박",n,14:00,11:00,06월 01일,08월 31일,,n,n,,,,,,y,n,,4,0,,,n,n,y,y,n,n,n,n,n,n,n,y,n
삼거리민박,,전라남도 여수시 화양면 화동리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
천경민박,,전라남도 여수시 화양면 안포리,,,,,n,,0,1,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
장등해변민박,,전라남도 여수시 화양면 장수리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
하얀집민박,,전라남도 여수시 화양면 장수리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
장수슈퍼민박,,전라남도 여수시 화양면 장수리,,,,,n,,0,5,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
해동민박,,전라남도 여수시 화양면 안포리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
제용필민박,,전라남도 여수시 화정면 적금리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
조상호민박,,전라남도 여수시 화정면 적금리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
신영동민박,,전라남도 여수시 화정면 적금리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
경아민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
신매자민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
사도 식당 민박,,전라남도 여수시 화정면 사도길 22-1,"22-1, Sado-gil Hwajeong-myeon, Yeosu-si, Jeollanam-do",359434.8403,221574.8893,,n,,0,3,0,0,,"여수, 사도, 사도 식당 민박",n,14:00,12:00,06월 01일,08월 01일,,y,n,,,,,,n,n,,0,0,,,n,n,n,y,n,n,n,n,n,y,y,n,n
박송자민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
포도나무집민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,6,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
영주네민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
고찬심민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
땅이네민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,5,0,0,,"여수, 민박, 땅이네 민박",n,14:00,12:00,06월 01일,08월 01일,,y,n,,,,,,n,n,,0,0,,,n,n,n,y,n,n,n,n,n,y,y,n,n
우리동네민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
김도심민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
안나네민박,,전라남도 여수시 화정면 낭도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
모래섬한옥민박,,전라남도 여수시 화정면 낭도리,,,,www.sadosaurs.com/ ,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
사도한옥민박,,전라남도여수시 화정면 낭도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
박재순민박,,전라남도 여수시 화정면 백야리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
김재철민박,,전라남도 여수시 화정면 백야리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
고두석민박,,전라남도 여수시 화정면 백야리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
김기순민박,,전라남도 여수시 화정면 백야리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
최춘구민박,,전라남도 여수시 화정면 여자리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
김영진민박,,전라남도 여수시 화정면 여자리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
제일민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
쉬고가는민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
터미널민박,,전라남도 여수시 삼산면 거문길 100,"100, Geomun-gil Samsan-myeon, Yeosu-si, Jeollanam-do",336419.6036,159165.3773,,n,,0,7,0,0,,,n,,,,,,n,n,,,,,,n,n,,0,0,,,n,n,n,y,n,n,n,n,y,y,y,y,n
풍난민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
남산민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
엑스포민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,5,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
다도해민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
삼도민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
삼호민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
아름이네민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
이례민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
거문도 고도민박,,전라남도 여수시 삼산면 거문길 82,"82, Geomun-gil Samsan-myeon, Yeosu-si, Jeollanam-do",,,godoinn.com,n,,1,7,0,0,,"거문도 숙박, 고도민박",n,11:00,10:00,07월 15일,08월 15일,,n,n,,,,,,y,n,,5,1,,,n,y,y,y,n,n,n,n,n,y,y,y,n
낙원민박,,전라남도 여수시 삼산면 거문리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
가리비민박,,전라남도 여수시 삼산면 거문리,,,,www.garibihouse.com/,n,,0,0,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,0,0,,,n,n,n,n,n,n,n,n,y,y,y,y,n
관광민박,,전라남도 여수시 삼산면 덕촌리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
우정민박,,전라남도 여수시 삼산면 덕촌리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
서포민박,,전라남도 여수시 삼산면 덕촌리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
덕성민박,,전라남도 여수시 삼산면 덕촌리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
대인민박,,전라남도 여수시 삼산면 서도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
변촌민박,,전라남도 여수시 삼산면 서도리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
은진민박,,전라남도 여수시 삼산면 서도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
녹산민박,,전라남도 여수시 삼산면 서도리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
현이네민박,,전라남도 여수시 삼산면 서도리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
희망민박,,전라남도 여수시 삼산면 동도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
하얀집민박,,전라남도 여수시 삼산면 동도리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
카프아일랜드펜션,,전라남도 여수시 망양로 192,"192, Mangyang-ro, Yeosu-si, Jeollanam-do",377053.6222,241616.7081,www.carpisland.co.kr/,n,,0,7,0,0,,,n,14:00,12:00,06월 01일,08월 01일,,n,n,,,,,,y,n,,13,2,,,n,n,n,y,n,n,n,n,y,y,y,y,n
섬민박,,전라남도 여수시 남면 연도리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
태공민박,,전라남도 여수시 남면 연도리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
차돌민박,,전라남도 여수시 남면 유송리,,,,,n,,0,2,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
남송민박,,전라남도 여수시 남면 유송리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
송고민박,,전라남도 여수시 남면 유송리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
대부산민박,,전라남도 여수시 남면 유송리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
안섬민박,,전라남도 여수시 남면 안도리,,,,,n,,0,6,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
소율민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
소율중앙민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,6,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
별바다민박,,전라남도 여수시 돌산읍 평사리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
딸부자집민박,,전라남도 여수시 돌산읍 둔전리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
수빈네민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
산마루민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,6,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
아리랑민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
워터파크,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
처갓집민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
무랑민박,,전라남도 여수시 돌산읍 우두리,,,,,n,,1,6,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,y,n,,10,0,,,n,n,n,y,n,n,n,n,y,y,y,y,n
해뜨는산장,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,5,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
밀물민박,,전라남도 여수시 돌산읍 죽포리,,,,,n,,0,6,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
광야민박,,전라남도 여수시 돌산읍 죽포리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
백림모텔,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,4,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
풍경화펜션,,전라남도 여수시 돌산읍 향일암로 375,"375, Hyangiram-ro Dolsan-eup, Yeosu-si, Jeollanam-do",380653.7662,223172.8817,landscape.namdominbak.go.kr/ ,n,,0,6,0,0,,,n,14:00,12:00,06월 01일,08월 01일,,n,n,5%,2016-05-31,2017-05-31,,,y,n,,12,0,,,n,n,n,y,n,n,n,n,y,y,y,y,n
경미민박,,전라남도 여수시 돌산읍 죽포리,,,,,n,,0,3,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
참조은,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,5,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
향일횟집-민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,5,0,0,,,n,,,06월 01일,08월 01일,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
서울 민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
소율바닷가,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
정유소매점,,전라남도 여수시 돌산읍 죽포리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
작금 민박,,전라남도여수시 돌산읍 금성리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
월송정,,전라남도 여수시 돌산읍 평사리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
정가득한 집,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
친절한 민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
율도민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
슬기네 민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
진이 민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
해돋이 산장 ,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
신진 민박,,전라남도 여수시 돌산읍 신복리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
별장민박,,전라남도 여수시 돌산읍 죽포리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
하얀파도민박,,전라남도 여수시 돌산읍 향일암로 386-11,"386-11, Hyangiram-ro Dolsan-eup, Yeosu-si, Jeollanam-do",380703.1727,223282.282,,n,,2,5,0,0,,"여수,향일암,하얀파도민박",n,14:00,12:00,06월 01일,08월 01일,,n,n,,,,,,y,n,,0,0,,,n,n,n,y,n,n,n,n,n,y,y,y,n
믿음 민박,,전라남도 여수시 돌산읍 죽포리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
청솔 민박,,전라남도 여수시 돌산읍 죽포리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
삼거리 민박,,전라남도 여수시 돌산읍 율림리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
안병진 민박,,전라남도 여수시 돌산읍 죽포리,,,,,n,,0,0,0,0,,,n,0:00,23:59,,,,n,n,,,,,,n,n,,,,,,n,n,n,n,n,n,n,n,y,y,y,y,n
